token_id,char,count,frequency
1, ,169892,0.15231568396459008
43,e,94611,0.08482294148973367
58,t,67009,0.060076529011273146
53,o,65798,0.05899081400832352
39,a,55507,0.04976447784370366
46,h,51310,0.04600168191688318
57,s,49696,0.044554659609070874
56,r,48889,0.04383114845516472
52,n,48529,0.04350839255007648
47,i,45537,0.04082593236112082
0,"
",40000,0.03586176723202743
50,l,33339,0.02988988644371406
42,d,31358,0.028113832421547903
59,u,26584,0.023833730502405427
51,m,22243,0.01994183221354965
63,y,20448,0.01833253540901242
6,",",19846,0.017792815812170407
61,w,17585,0.015765729419380058
44,f,15770,0.014138501731226813
41,c,15623,0.014006709736649112
45,g,13356,0.011974244078773958
21,I,11832,0.010607910747233712
40,b,11321,0.010149776670844563
54,p,10808,0.009689849506093811
10,:,10316,0.009248749769139874
8,.,7885,0.0070692508656134065
13,A,7819,0.007010078949680561
60,v,7793,0.0069867688009797434
49,k,7088,0.00635470515351526
32,T,7015,0.00628925742831681
5,',6187,0.005546918846613842
17,E,6041,0.005416023396216942
27,O,5481,0.004913958654968558
26,N,5079,0.004553547894286683
30,R,4869,0.004365273616318539
31,S,4523,0.004055069329761502
24,L,3876,0.0034750052447834576
15,C,3820,0.003424798770658619
11,;,3628,0.0032526622879448875
35,W,3530,0.0031648009582264203
33,U,3313,0.0029702508709926714
20,H,3068,0.0027505975466965036
25,M,2840,0.0025461854734739474
14,B,2761,0.002475358483190693
12,?,2462,0.0022072917731312883
19,G,2399,0.002150809489740845
2,!,2172,0.0019472939606990892
16,D,2089,0.0018728807936926324
7,-,1897,0.0017007443109789007
18,F,1797,0.0016110898928988321
37,Y,1718,0.001540262902615578
28,P,1641,0.0014712290006939253
23,K,1584,0.0014201259823882861
34,V,798,0.0007154422562789471
48,j,628,0.0005630297455428306
55,q,609,0.0005459954061076176
62,x,529,0.00047427187164356273
64,z,356,0.0003191697283650441
22,J,320,0.00028689413785621944
29,Q,231,0.0002071017057649584
38,Z,198,0.00017751574779853576
36,X,112,0.00010041294824967679
9,3,27,2.4206692881618513e-05
4,&,3,2.689632542402057e-06
3,$,1,8.965441808006857e-07
